,Title,Artist,Year,Link,Genre
229,비원(悲願),박상민,1998,https://www.melon.com/song/detail.htm?songId=77991,발라드
230,세,김장훈,1998,https://www.melon.com/song/detail.htm?songId=77364,발라드
231,회,터보,1998,https://www.melon.com/song/detail.htm?songId=1606413,발라드
232,해에게서 소년에게,넥스트,1998,https://www.melon.com/song/detail.htm?songId=37845,록/메탈
233,외출,최재훈,1998,https://www.melon.com/song/detail.htm?songId=78451,록/메탈
234,사랑한 후에,신성우,1998,https://www.melon.com/song/detail.htm?songId=77872,록/메탈
235,먼 훗날,YB,1998,https://www.melon.com/song/detail.htm?songId=79953,록/메탈
236,눈물 내리는 날 (비),조 트리오,1998,https://www.melon.com/song/detail.htm?songId=8218628,발라드
237,내게 너무 이쁜 그녀,아낌없이 주는 나무,1998,https://www.melon.com/song/detail.htm?songId=75813,발라드
238,혼자한 사랑,김현정,1998,https://www.melon.com/song/detail.htm?songId=38548,댄스
239,배려,김동률,1998,https://www.melon.com/song/detail.htm?songId=38030,발라드
240,알고 싶어요!,양파,1998,https://www.melon.com/song/detail.htm?songId=76946,발라드
241,하나의 사랑,박상민,1998,https://www.melon.com/song/detail.htm?songId=78002,발라드
242,슬픈 얼굴,A.R.T,1998,https://www.melon.com/song/detail.htm?songId=91284,발라드
243,Love Song,김종서,1998,https://www.melon.com/song/detail.htm?songId=1627767,록/메탈
244,널 위해 준비된 사랑,김조한,1998,https://www.melon.com/song/detail.htm?songId=38003,R&B/Soul
245,눈물,리아,1998,https://www.melon.com/song/detail.htm?songId=32729,록/메탈
246,그녀의 생일,뱅크,1998,https://www.melon.com/song/detail.htm?songId=14228,발라드
247,Honey,박진영,1998,https://www.melon.com/song/detail.htm?songId=77536,댄스
248,길,조관우,1998,https://www.melon.com/song/detail.htm?songId=47534,발라드
249,거짓말도 보여요,김현철,1998,https://www.melon.com/song/detail.htm?songId=38605,발라드
250,소원,김현성,1998,https://www.melon.com/song/detail.htm?songId=38217,발라드
251,별이 되어,임창정,1998,https://www.melon.com/song/detail.htm?songId=481565,발라드
252,처음 주신 사랑,유리상자,1998,https://www.melon.com/song/detail.htm?songId=534607,발라드
253,왜불러,디바,1998,https://www.melon.com/song/detail.htm?songId=78351,댄스
254,나의 하루,박정현,1998,https://www.melon.com/song/detail.htm?songId=2184574,발라드
255,사랑은 유리같은 것,원준희,1998,https://www.melon.com/song/detail.htm?songId=3560382,발라드
256,Blue Rain,핑클 (Fin.K.L),1998,https://www.melon.com/song/detail.htm?songId=33268,발라드
257,루비(淚悲):슬픈 눈물,핑클 (Fin.K.L),1998,https://www.melon.com/song/detail.htm?songId=33271,발라드
258,뭐를 잘못한거니!,Esther,1998,https://www.melon.com/song/detail.htm?songId=76490,발라드
259,Happy Together,서영은,1998,https://www.melon.com/song/detail.htm?songId=1573529,발라드
260,1:1,주주 클럽,1998,https://www.melon.com/song/detail.htm?songId=78944,록/메탈
261,마지막 사랑,에코,1998,https://www.melon.com/song/detail.htm?songId=80649,발라드
262,Solo예찬,이문세,1998,https://www.melon.com/song/detail.htm?songId=79774,발라드
263,난 행복해,이소라,1998,https://www.melon.com/song/detail.htm?songId=1839641,발라드
264,내게 다시,더더 (THETHE),1998,https://www.melon.com/song/detail.htm?songId=37596,록/메탈
265,정인 (情人),The Day,1998,https://www.melon.com/song/detail.htm?songId=4463490,발라드
266,올라올라,업타운,1998,https://www.melon.com/song/detail.htm?songId=2683765,랩/힙합
267,"Oh, My Love",S.E.S.,1998,https://www.melon.com/song/detail.htm?songId=78185,댄스
268,십년이 지나도,박진영,1998,https://www.melon.com/song/detail.htm?songId=78044,발라드
269,커플,젝스키스,1998,https://www.melon.com/song/detail.htm?songId=81013,댄스
270,Say Goodbye,화이트,1998,https://www.melon.com/song/detail.htm?songId=1762102,발라드
271,향수 (그때가 그리워),여행스케치,1998,https://www.melon.com/song/detail.htm?songId=80323,"발라드, 포크/블루스"
272,정동진1,정태춘,1998,https://www.melon.com/song/detail.htm?songId=3104074,포크/블루스
273,하나,옐로우,1998,https://www.melon.com/song/detail.htm?songId=2352854,발라드
274,Road Fighter,젝스키스,1998,https://www.melon.com/song/detail.htm?songId=79951,댄스
275,사랑만들기,엔알지 (NRG),1998,https://www.melon.com/song/detail.htm?songId=80067,댄스
276,세,베이시스,1998,https://www.melon.com/song/detail.htm?songId=76623,발라드
277,귀머거리 하늘,R.ef,1998,https://www.melon.com/song/detail.htm?songId=91291,댄스
278,고개숙인 너에게,신승훈,1998,https://www.melon.com/song/detail.htm?songId=77375,발라드
279,밀랍천사,자우림,1998,https://www.melon.com/song/detail.htm?songId=91285,록/메탈
280,열맞춰! (Line Up!),H.O.T.,1998,https://www.melon.com/song/detail.htm?songId=80473,댄스
281,할 수 있어,엔알지 (NRG),1998,https://www.melon.com/song/detail.htm?songId=76321,댄스
282,Poison,엄정화,1998,https://www.melon.com/song/detail.htm?songId=83721,댄스
283,가장 슬픈날의 왈츠,변진섭,1998,https://www.melon.com/song/detail.htm?songId=77729,발라드
284,내가 기다린 사랑,유승준,1998,https://www.melon.com/song/detail.htm?songId=78630,댄스
285,내안의 그대,업타운,1998,https://www.melon.com/song/detail.htm?songId=76252,랩/힙합
286,내 남자 친구에게,핑클 (Fin.K.L),1998,https://www.melon.com/song/detail.htm?songId=33273,댄스
287,나나나,유승준,1998,https://www.melon.com/song/detail.htm?songId=78633,댄스
288,유리,이기찬,1998,https://www.melon.com/song/detail.htm?songId=76033,발라드
289,널 보낸 이유 (Live),이승철,1998,https://www.melon.com/song/detail.htm?songId=611303,발라드
290,늑대와 함께 춤을,임창정,1998,https://www.melon.com/song/detail.htm?songId=481561,댄스
291,애심 (Remix),태사자,1998,https://www.melon.com/song/detail.htm?songId=105679,댄스
292,악마의 연기 (Feat. Perry),양현석,1998,https://www.melon.com/song/detail.htm?songId=80414,랩/힙합
293,금지된 사랑,김경호,1998,https://www.melon.com/song/detail.htm?songId=38667,록/메탈
294,Good-bye Love,이지훈,1998,https://www.melon.com/song/detail.htm?songId=84098,발라드
295,자꾸 자꾸,일기예보,1998,https://www.melon.com/song/detail.htm?songId=75082,발라드
296,이별,안재욱,1998,https://www.melon.com/song/detail.htm?songId=78033,발라드
297,미래(未來),이현도,1998,https://www.melon.com/song/detail.htm?songId=78291,랩/힙합
298,세,신효범,1998,https://www.melon.com/song/detail.htm?songId=91226,발라드
299,슬픈 영혼식 (For Your Soul),조성모,1999,https://www.melon.com/song/detail.htm?songId=1139375,발라드
