,Artist,Genre,Title,Year
263,이수미,성인가요,여고시절,1972
264,하춘화,성인가요,영암 아리랑,1972
265,최동길,성인가요,영원한 세실리아,1972
266,에보니스,성인가요,영원히 사랑하리,1972
267,조영남,성인가요,옛생각,1972
268,Trippers,성인가요,옛님,1972
269,문정선,성인가요,오라 오라 오라,1972
270,양희은,포크/블루스,이루어질 수 없는 사랑,1972
271,조영남,성인가요,이일병과 이쁜이,1972
272,남진,성인가요,임과 함께,1972
273,임희숙,성인가요,진정 난 몰랐네,1972
274,조영남,발라드,최진사댁 셋째 딸,1972
275,나훈아,성인가요,해변의 여인,1972
276,박일남,성인가요,희야,1972
277,하춘화,성인가요,강원도 아리랑,1973
278,홍민,발라드,고별,1973
279,이태리,성인가요,고향 못 잊어,1973
280,이장희,포크/블루스,그건 너,1973
281,남진,성인가요,그대여 변치마오,1973
282,김추자,성인가요,그럴수가 있나요,1973
283,방주연,"발라드, 성인가요",기다리게 해놓고,1973
284,서유석,포크/블루스,나는 너를,1973
285,김세레나,성인가요,내 강산 좋을시구,1973
286,김부자,성인가요,달과 함께 별과 함께,1973
287,박우철,성인가요,돌아와,1973
288,은희,성인가요,등대지기,1973
289,장현,록/메탈,마른잎,1973
290,윤항기,성인가요,목이 메어,1973
291,홍민,성인가요,미련,1973
292,4월과 5월,포크/블루스,바다의 여인,1973
293,윤항기,성인가요,별이 빛나는 밤에,1973
294,장미화,성인가요,봄이 오면 (Hello-A),1973
295,이용복,성인가요,사랑의 모닥불,1973
296,이수미,성인가요,사랑의 의지,1973
297,조미미,발라드,서귀포를 아시나요,1973
298,패티김,성인가요,서울의 모정,1973
299,장현,록/메탈,석양,1973
300,이연실,포크/블루스,소낙비,1973
301,김정미,록/메탈,아름다운 강산,1973
302,양희은,포크/블루스,아름다운 것들,1973
303,장미화,성인가요,안녕하세요,1973
304,김추자,성인가요,왜 아니올까,1973
305,4월과 5월,포크/블루스,욕심없는 마음,1973
306,윤형주,포크/블루스,우리들의 이야기,1973
307,이용복,성인가요,잊으라면 잊겠어요,1973
308,이장희,포크/블루스,자정이 훨씬 넘었네,1973
309,어니언스 (이수영),발라드,작은새,1973
310,이현,성인가요,잘 있어요,1973
311,남진,성인가요,젊은 초원,1973
312,김세환,포크/블루스,토요일 밤에,1973
313,서유석,포크/블루스,하늘,1973
314,양희은,포크/블루스,행복의 나라,1973
315,홍세민,성인가요,흙에 살리라,1973
316,양희은,포크/블루스,가난한 마음,1974
317,논두렁 밭두렁,성인가요,개구리 노총각,1974
318,홍민,발라드,고향초,1974
319,차중락,성인가요,그대는 가고,1974
320,패티김,성인가요,그대없이는 못살아,1974
321,이영석,성인가요,그대여,1974
322,현경과 영애,포크/블루스,"그리워라 (박카스D CF 최민식, 임수정편)",1974
323,송창식,포크/블루스,꽃보다 귀한 여인,1974
324,이장희,포크/블루스,나 그대에게 모두 드리리,1974
325,윤지영,발라드,내 노래에 날개가 있다면,1974
326,양희은,포크/블루스,내 님의 사랑은,1974
327,이수미,성인가요,내곁에 있어주,1974
328,윤항기,성인가요,노래하는 곳에,1974
329,이숙,성인가요,눈이 내리네,1974
330,원프러스원,포크/블루스,당신의 모든 것을,1974
331,한세일,성인가요,모정의 세월,1974
332,하남석,성인가요,바람에 실려,1974
333,조영남,성인가요,불 꺼진 창,1974
334,김세환,포크/블루스,비,1974
335,어니언스,발라드,사랑의 진실,1974
336,송창식,포크/블루스,새는,1974
337,남진,성인가요,서로 좋아해,1974
338,박두호,포크/블루스,8번 (아야 우지마라),1974
339,김정호,성인가요,이름 모를 소녀 (Narr. 이윤선),1974
340,패티김,성인가요,이별,1974
341,허림,성인가요,인어이야기,1974
342,템페스트,록/메탈,잊게 해주오,1974
343,양희은,포크/블루스,작은 배,1974
344,박경희,성인가요,저꽃속에 찬란한 빛이,1974
345,어니언스,포크/블루스,저 별과 달을,1974
346,조영남,발라드,제비,1974
347,이연실,포크/블루스,조용한 여자,1974
348,김세환,포크/블루스,좋은걸 어떡해,1974
349,현경과 영애,포크/블루스,참 예쁘네요,1974
350,송창식,포크/블루스,철지난 바닷가,1974
351,어니언스,포크/블루스,편지,1974
352,어니언스 (이수영),발라드,편지,1974
353,송창식,포크/블루스,피리부는 사나이,1974
354,박인희,포크/블루스,하얀 조가비,1974
355,이장희,포크/블루스,한잔의 추억,1974
356,지은아,성인가요,향수에 젖어서,1974
357,최양숙,성인가요,가을 편지,1975
358,송창식,포크/블루스,고래사냥,1975
359,둘 다섯,포크/블루스,긴머리 소녀,1975
360,김세환,포크/블루스,길가에 앉아서,1975
