,Artist,Link,Title,Year,Genre
139,엠씨더맥스 (M.C the MAX),https://www.melon.com/song/detail.htm?songId=8033528,어디에도,2017,발라드
140,헤이즈 (Heize),https://www.melon.com/song/detail.htm?songId=8143111,돌아오지마 (Feat. 용준형 Of 비스트),2017,랩/힙합
141,싸이 (PSY),https://www.melon.com/song/detail.htm?songId=30403589,I LUV IT,2017,댄스
142,볼빨간사춘기,https://www.melon.com/song/detail.htm?songId=8155478,심술,2017,"인디음악, 포크/블루스"
143,방탄소년단,https://www.melon.com/song/detail.htm?songId=30029173,피 땀 눈물,2017,랩/힙합
144,DEAN,https://www.melon.com/song/detail.htm?songId=8109412,D (half moon) (Feat. 개코),2017,R&B/Soul
145,볼빨간사춘기,https://www.melon.com/song/detail.htm?songId=30657307,썸 탈꺼야,2017,"인디음악, 포크/블루스"
146,하이라이트 (Highlight),https://www.melon.com/song/detail.htm?songId=30310862,얼굴 찌푸리지 말아요,2017,댄스
147,정승환,https://www.melon.com/song/detail.htm?songId=8203900,너였다면,2017,"발라드, 국내드라마"
148,소유 (SOYOU),https://www.melon.com/song/detail.htm?songId=30177818,I Miss You,2017,"발라드, 국내드라마"
149,한동근,https://www.melon.com/song/detail.htm?songId=5398990,이 소설의 끝을 다시 써보려 해,2017,발라드
150,마마무 (Mamamoo),https://www.melon.com/song/detail.htm?songId=30488202,나로 말할 것 같으면 (Yes I am),2017,댄스
151,태연 (TAEYEON),https://www.melon.com/song/detail.htm?songId=30278209,Fine,2017,발라드
152,박원,https://www.melon.com/song/detail.htm?songId=30550388,all of my life,2017,발라드
153,황광희 X 개코,https://www.melon.com/song/detail.htm?songId=30179089,당신의 밤 (Feat. 오혁),2017,랩/힙합
154,창모 (CHANGMO),https://www.melon.com/song/detail.htm?songId=8276709,아름다워,2017,랩/힙합
155,Wanna One (워너원),https://www.melon.com/song/detail.htm?songId=30568338,에너제틱 (Energetic),2017,댄스
156,블락비 (Block B),https://www.melon.com/song/detail.htm?songId=30232778,YESTERDAY,2017,댄스
157,에디킴,https://www.melon.com/song/detail.htm?songId=30169608,이쁘다니까,2017,"발라드, 국내드라마"
158,한동근,https://www.melon.com/song/detail.htm?songId=30399360,미치고 싶다,2017,발라드
159,지코 (ZICO),https://www.melon.com/song/detail.htm?songId=30519033,Artist,2017,랩/힙합
160,Zion.T,https://www.melon.com/song/detail.htm?songId=30227061,노래,2017,R&B/Soul
161,헤이즈 (Heize),https://www.melon.com/song/detail.htm?songId=30132701,저 별,2017,R&B/Soul
162,임창정,https://www.melon.com/song/detail.htm?songId=9631530,내가 저지른 사랑,2017,발라드
163,언니쓰,https://www.melon.com/song/detail.htm?songId=30408193,맞지?,2017,댄스
164,혁오 (HYUKOH),https://www.melon.com/song/detail.htm?songId=30383949,TOMBOY,2017,"인디음악, 록/메탈"
165,창모 (CHANGMO),https://www.melon.com/song/detail.htm?songId=8276708,마에스트로 (Maestro),2017,랩/힙합
166,아이유,https://www.melon.com/song/detail.htm?songId=30636089,가을 아침,2017,포크/블루스
167,볼빨간사춘기,https://www.melon.com/song/detail.htm?songId=9620471,You(=I),2017,"인디음악, 포크/블루스"
168,어반자카파,https://www.melon.com/song/detail.htm?songId=8199190,널 사랑하지 않아,2017,발라드
169,길구봉구,https://www.melon.com/song/detail.htm?songId=4383833,바람이 불었으면 좋겠어,2017,발라드
170,매드클라운,https://www.melon.com/song/detail.htm?songId=30230986,우리집을 못 찾겠군요 (Feat. 볼빨간사춘기),2017,"랩/힙합, 인디음악"
171,박효신,https://www.melon.com/song/detail.htm?songId=30011624,숨,2017,발라드
172,소유 (SOYOU),https://www.melon.com/song/detail.htm?songId=30247520,비가와 (Rain),2017,발라드
173,TWICE (트와이스),https://www.melon.com/song/detail.htm?songId=8158031,CHEER UP,2017,댄스
174,넉살,https://www.melon.com/song/detail.htm?songId=30566061,N분의1 (Feat. 다이나믹듀오),2017,랩/힙합
175,에픽하이 (EPIK HIGH),https://www.melon.com/song/detail.htm?songId=30688500,연애소설 (Feat. 아이유),2017,랩/힙합
176,아이오아이 (I.O.I),https://www.melon.com/song/detail.htm?songId=30208070,소나기,2017,발라드
177,샘김 (Sam Kim),https://www.melon.com/song/detail.htm?songId=30169383,Who Are You,2017,"발라드, 국내드라마"
178,EXO,https://www.melon.com/song/detail.htm?songId=30529996,Ko Ko Bop,2017,댄스
179,정승환,https://www.melon.com/song/detail.htm?songId=30120986,이 바보야,2017,발라드
180,정준일,https://www.melon.com/song/detail.htm?songId=30178900,첫 눈,2017,"발라드, 국내드라마"
181,볼빨간사춘기,https://www.melon.com/song/detail.htm?songId=30657311,나의 사춘기에게,2017,"인디음악, 포크/블루스"
182,다이나믹 듀오,https://www.melon.com/song/detail.htm?songId=30215199,기다렸다 가,2017,랩/힙합
183,지코 (ZICO),https://www.melon.com/song/detail.htm?songId=30355842,She`s a Baby,2017,R&B/Soul
184,BIGBANG,https://www.melon.com/song/detail.htm?songId=30147446,LAST DANCE,2017,발라드
185,버즈,https://www.melon.com/song/detail.htm?songId=30550293,사랑하지 않은 것처럼,2017,록/메탈
186,비투비,https://www.melon.com/song/detail.htm?songId=30286429,MOVIE,2017,댄스
187,비투비,https://www.melon.com/song/detail.htm?songId=30672529,그리워하다,2017,발라드
188,방탄소년단,https://www.melon.com/song/detail.htm?songId=30637982,DNA,2017,랩/힙합
189,Red Velvet (레드벨벳),https://www.melon.com/song/detail.htm?songId=9634954,러시안 룰렛 (Russian Roulette),2017,댄스
190,국민의 아들,https://www.melon.com/song/detail.htm?songId=30453635,NEVER,2017,댄스
191,청하,https://www.melon.com/song/detail.htm?songId=30457690,Why Don`t You Know (Feat. 넉살),2017,댄스
192,행주,https://www.melon.com/song/detail.htm?songId=30566064,"요즘것들 (Feat. ZICO, DEAN)",2017,랩/힙합
193,아이유,https://www.melon.com/song/detail.htm?songId=30378157,이런 엔딩,2017,발라드
194,씨스타,https://www.melon.com/song/detail.htm?songId=30447547,LONELY,2017,R&B/Soul
195,Apink (에이핑크),https://www.melon.com/song/detail.htm?songId=30492606,FIVE,2017,댄스
196,아이유,https://www.melon.com/song/detail.htm?songId=30378155,이 지금,2017,발라드
197,민서,https://www.melon.com/song/detail.htm?songId=30729198,좋아,2017,발라드
198,수지 (SUZY),https://www.melon.com/song/detail.htm?songId=30205955,행복한 척,2017,R&B/Soul
199,아이오아이 (I.O.I),https://www.melon.com/song/detail.htm?songId=30040810,너무너무너무,2017,댄스
200,iKON,https://www.melon.com/song/detail.htm?songId=30859584,사랑을 했다 (LOVE SCENARIO),2018,랩/힙합
201,장덕철,https://www.melon.com/song/detail.htm?songId=30755375,그날처럼,2018,발라드
202,폴킴,https://www.melon.com/song/detail.htm?songId=30962526,"모든 날, 모든 순간 (Every day, Every Moment)",2018,"발라드, 국내드라마"
203,닐로(Nilo),https://www.melon.com/song/detail.htm?songId=30699142,지나오다,2018,발라드
